,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
825,826,가을의 낙엽,정보없음,758000,0.00%,1371000,379,474,1,9,미국,미국,정보없음,정보없음,정보없음,드라마,로버트 알드리치,"조안 크로포드,클리프 로버트슨,베라 마일즈"
826,826,발지 대전투,정보없음,838000,0.00%,1174000,379,523,1,12,미국,미국,정보없음,정보없음,정보없음,전쟁,정보없음,정보없음
827,826,암행어사 박문수,정보없음,758000,0.00%,5778000,379,2646,1,9,한국,한국,동보영화사,정보없음,정보없음,사극,이규웅,"김진규,김지미,조미령"
828,829,커피와 담배,2006-07-27,3385000,0.00%,81743900,378,10953,1,36,미국,미국,정보없음,"(주)영화사 안다미로,(주)스폰지이엔티",12세이상관람가,드라마,짐 자무시,"로베르토 베니니,빌 머레이"
829,830,너와 나,정보없음,3008000,0.00%,3008000,376,376,1,3,한국,한국,정보없음,정보없음,정보없음,기타,조현철,박혜수
830,830,센소,정보없음,376000,0.00%,5427000,376,2018,1,12,이탈리아,이탈리아,정보없음,정보없음,정보없음,멜로/로맨스,루치노 비스콘티,"알리다 발리,팔리 그레인저"
831,832,포스트맨은 벨을 두번 울린다,정보없음,750000,0.00%,8551000,375,4084,1,12,미국,미국,정보없음,정보없음,정보없음,드라마,테이 가넷,"라나 터너,존 가필드"
832,833,6년간의 의혹,정보없음,746000,0.00%,2762000,373,1371,1,12,미국,미국,정보없음,정보없음,정보없음,미스터리,마이클 앤더슨,"게리 쿠퍼,데보라 카"
833,834,그린 나이트,2021-08-05,3600100,0.00%,266600180,368,28671,3,49,미국,미국,정보없음,(주)팝엔터테인먼트,15세이상관람가,어드벤처,데이빗 로워리,"데브 파텔,알리시아 비칸데르,조엘 에저튼,사리타 초우드리,랄프 아인슨,케이트 디키,숀 해리스"
834,834,포켓에 가득찬 행복,정보없음,783000,0.00%,6077000,368,2453,1,13,미국,미국,정보없음,정보없음,정보없음,코미디,프랭크 카프라,"글렌 포드,베티 데이비스"
835,836,팬픽에서 연애까지,2022-12-22,2723500,0.00%,2723500,367,367,18,35,한국,한국,㈜드림스테이션,(주)이놀미디어,15세이상관람가,멜로/로맨스,강윤성,정보없음
836,837,추억의 장미,정보없음,738000,0.00%,6375000,366,2882,1,12,미국,미국,파라마운트 픽쳐스,정보없음,정보없음,멜로/로맨스,다니엘 만,"안나 마냐니,버트 랭커스터"
837,837,탈주특급,정보없음,366000,0.00%,674000,366,520,1,9,미국,미국,정보없음,정보없음,정보없음,액션,마크 로브슨,"프랭크 시내트라,트레버 하워드"
838,839,공작새,정보없음,3456000,0.00%,3456000,365,365,2,5,한국,한국,정보없음,정보없음,정보없음,드라마,변성빈,정보없음
839,839,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,2797300,0.00%,434568600,365,56904,1,12,일본,일본,정보없음,(주)박수엔터테인먼트,전체관람가,애니메이션,모리와키 마코토,정보없음
840,839,로리타,정보없음,730000,0.00%,4658000,365,2309,1,8,영국,"영국,미국",정보없음,정보없음,정보없음,드라마,스탠리 큐브릭,"제임스 메이슨,셸리 윈터스,수 라이언"
841,842,동성서취,1993-03-13,3776500,0.00%,10405000,362,1082,4,35,홍콩,홍콩,정보없음,(주)엔케이컨텐츠,중학생이상관람가,액션,유진위,"장국영,임청하,양조위,양가휘,장만옥"
842,842,사브리나,정보없음,854000,0.00%,35747000,362,13935,1,12,미국,미국,파라마운트 픽쳐스,정보없음,정보없음,코미디,빌리 와일더,"험프리 보가트,오드리 헵번,윌리엄 홀덴"
843,842,애꾸눈 잭,정보없음,724000,0.00%,17900000,362,8955,1,8,미국,미국,정보없음,정보없음,정보없음,드라마,말론 브란도,말론 브란도
844,845,천국의 열쇠,정보없음,722000,0.00%,7546000,361,3763,1,9,미국,미국,정보없음,정보없음,정보없음,드라마,존 M. 스탈,"그레고리 펙,토마스 미첼"
845,846,당신은 이 글 속에 살아있다,2022-02-18,1800000,0.00%,1800000,360,360,5,18,한국,한국,스토리웨이브픽쳐스,스토리웨이브픽쳐스,12세이상관람가,기타,임지환,"이새별,김동연,민성국,전상우,서승우,김유진,백성현,안혜경,박소윤,최민경,반은세,구윤상,공인실,신한결,양지원,이은경,권선호,신준영,채승우,김승희,황우찬,한성률,정민지,이희찬,서휘정,주재환,김동준이,유연우,이아연,김은순,이보연,김우림,이보영,권혁준,이정훈,채묵현,안지완,박승호"
